,,from,to,distance
65284353,65284356,65284353,65284356,333.698887
65284356,65284360,65284356,65284360,80.09783
65284360,65284362,65284360,65284362,68.147207
65284362,65284365,65284362,65284365,106.687123
65284362,65308148,65284362,65308148,24.111133
65284365,65284368,65284365,65284368,46.886535
65284365,3717633726,65284365,3717633726,30.204895
65284368,65284371,65284368,65284371,135.127832
65284371,65284380,65284371,65284380,178.950897
65284380,3722627752,65284380,3722627752,87.526101
65284433,6348551836,65284433,6348551836,107.207321
65284433,6348551912,65284433,6348551912,22.231902
65284433,6348551913,65284433,6348551913,14.063851
65284433,6348551914,65284433,6348551914,16.38757
65284442,65284445,65284442,65284445,167.045006
65284442,65302340,65284442,65302340,47.882176
65284445,6348551154,65284445,6348551154,42.762767
65284458,65284461,65284458,65284461,156.600559
65284458,315706412,65284458,315706412,4.200455
65284461,6348551153,65284461,6348551153,41.600303
65284488,65284490,65284488,65284490,136.399375
65284488,2901059557,65284488,2901059557,47.688703
65284490,65290088,65284490,65290088,46.53728
65284500,65284502,65284500,65284502,141.961629
65284500,65306641,65284500,65306641,30.961992
65284502,65290085,65284502,65290085,46.829383
65284542,4911168124,65284542,4911168124,82.326746
65284542,4911168125,65284542,4911168125,32.604772
65284556,7513521168,65284556,7513521168,1.883751
65284556,8995374239,65284556,8995374239,13.932844
65284563,5443154740,65284563,5443154740,89.538686
65284619,6348549416,65284619,6348549416,47.896102
65284635,1718784654,65284635,1718784654,8.072888
65284708,65344663,65284708,65344663,52.103693
65284708,265666702,65284708,265666702,16.34823
65284748,5020473924,65284748,5020473924,10.255269
65284808,612724723,65284808,612724723,160.85083
65284808,3892342504,65284808,3892342504,6.345977
65284828,3998587673,65284828,3998587673,22.948343
65284828,6502733624,65284828,6502733624,122.727111
65284849,65284851,65284849,65284851,49.027835
65284851,65283131,65284851,65283131,141.196556
65284851,65284852,65284851,65284852,38.280323
65284852,3892342472,65284852,3892342472,64.459908
65284852,7797436493,65284852,7797436493,6.068264
65284868,612723135,65284868,612723135,131.542711
65284950,6329528602,65284950,6329528602,14.899557
65284950,7047807975,65284950,7047807975,11.004718
65284960,8075984907,65284960,8075984907,31.298911
65284974,6670052654,65284974,6670052654,7.962173
65284974,6670066989,65284974,6670066989,6.036907
65284996,1196753544,65284996,1196753544,64.550521
65284996,1583149925,65284996,1583149925,144.336845
65285008,258916755,65285008,258916755,13.57993
65285008,1583149846,65285008,1583149846,10.248278
65285015,1583149958,65285015,1583149958,4.761714
65285015,1583149986,65285015,1583149986,40.642769
65285017,3998043792,65285017,3998043792,90.409769
65285050,265666757,65285050,265666757,8.417833
65285060,65348937,65285060,65348937,30.841046
65285081,65285083,65285081,65285083,114.99396
65285081,65285093,65285081,65285093,50.863074
65285083,65285081,65285083,65285081,114.99396
65285093,65285094,65285093,65285094,47.472899
65285094,65285096,65285094,65285096,82.232211
65285094,65285103,65285094,65285103,110.751972
65285096,65362867,65285096,65362867,111.528341
65285103,65285083,65285103,65285083,97.638342
65285109,65350752,65285109,65350752,53.05181
65285109,5429030150,65285109,5429030150,17.914872
65285119,65285123,65285119,65285123,188.902361
65285119,4022973150,65285119,4022973150,43.98505
65285123,65328668,65285123,65328668,45.823313
65285124,65312430,65285124,65312430,68.594691
65285124,3989396053,65285124,3989396053,10.032732
65285129,7231525035,65285129,7231525035,74.957856
65285129,7231544094,65285129,7231544094,12.392001
65285133,65284066,65285133,65284066,168.010439
65285155,65319247,65285155,65319247,72.52223
65285155,610748110,65285155,610748110,16.558118
65285164,4070841529,65285164,4070841529,27.675821
65285164,4904274621,65285164,4904274621,3.651861
65285181,65312464,65285181,65312464,15.057754
65285239,6394438840,65285239,6394438840,11.892078
65285239,6394438841,65285239,6394438841,12.373527
65285341,65336773,65285341,65336773,26.67021
65285341,287826858,65285341,287826858,26.114982
65285343,2933665491,65285343,2933665491,17.457013
65285380,258972742,65285380,258972742,31.973009
65285380,440319067,65285380,440319067,21.393074
65285414,5287405684,65285414,5287405684,15.50036
65285414,5287406030,65285414,5287406030,30.717371
65285432,5287406031,65285432,5287406031,19.400829
65285435,65285441,65285435,65285441,103.073713
65285441,65285435,65285441,65285435,103.073713
65285464,65349513,65285464,65349513,190.060341
65285464,8404005497,65285464,8404005497,55.995091
65285501,5287385332,65285501,5287385332,33.312735
65285501,5287385338,65285501,5287385338,7.149462
65285504,65282140,65285504,65282140,13.722382
65285506,65285507,65285506,65285507,10.75909
65285506,615144526,65285506,615144526,416.114771
65285507,615144365,65285507,615144365,138.576409
65285622,3997758388,65285622,3997758388,46.51566
65285626,65316927,65285626,65316927,102.012339
65285635,65282200,65285635,65282200,40.565049
65285635,65285626,65285635,65285626,64.64326
65285646,65285648,65285646,65285648,29.983291
65285646,65314546,65285646,65314546,142.238849
65285648,5427553439,65285648,5427553439,24.326132
65285650,65285648,65285650,65285648,40.766519
65285655,65285673,65285655,65285673,41.102158
65285655,5675560180,65285655,5675560180,19.229811
65285673,65282319,65285673,65282319,75.303755
65285688,65306547,65285688,65306547,107.842596
65285688,346521662,65285688,346521662,28.623849
65285688,5433624651,65285688,5433624651,24.607752
65285698,65286022,65285698,65286022,56.798429
65285698,4045338448,65285698,4045338448,53.719709
65285698,4045338455,65285698,4045338455,71.184356
65285714,65292548,65285714,65292548,119.697208
65285714,65295873,65285714,65295873,110.260503
65285743,65285748,65285743,65285748,57.60036
65285748,65314454,65285748,65314454,59.97087
65285748,5428509613,65285748,5428509613,9.487149
65285858,65336914,65285858,65336914,39.384845
65285858,301658243,65285858,301658243,99.358456
65285870,6936121051,65285870,6936121051,0.397045
65285879,542900786,65285879,542900786,115.396866
65285911,65285913,65285911,65285913,71.704599
65285911,65311334,65285911,65311334,124.966109
65285913,5035895973,65285913,5035895973,48.693565
65286022,6470168158,65286022,6470168158,8.999924
65286030,65347009,65286030,65347009,53.993873
65286030,1155753222,65286030,1155753222,32.995392
65286067,65308466,65286067,65308466,25.420661
65286126,65317729,65286126,65317729,57.225611
65286153,5435466357,65286153,5435466357,65.08378
65286177,65286184,65286177,65286184,67.770193
65286177,65326879,65286177,65326879,132.788691
65286184,65286187,65286184,65286187,41.554153
65286187,258926829,65286187,258926829,103.375847
65286336,65317530,65286336,65317530,17.69115
65286336,3365191933,65286336,3365191933,13.901563
65286340,65283675,65286340,65283675,6.260472
65286358,65286340,65286358,65286340,26.083411
65286374,1819461225,65286374,1819461225,61.523994
65286396,65345909,65286396,65345909,35.352887
65286396,8433983981,65286396,8433983981,42.892709
65286413,65286418,65286413,65286418,120.135858
65286418,65286420,65286418,65286420,106.453911
65286462,830818978,65286462,830818978,12.967894
65286469,65347511,65286469,65347511,76.824701
65286469,65360311,65286469,65360311,68.115196
65286476,65285093,65286476,65285093,71.800663
65286476,7521766760,65286476,7521766760,49.435627
65286507,65324419,65286507,65324419,60.222879
65286515,297276075,65286515,297276075,64.401868
